Article Name;Name;Place of Birth
Aaron Burr;Aaron Burr;Newark
Abraham Lincoln;Abraham Lincoln;Sinking Spring Farm
Adlai Stevenson;Adlai Stevenson;Christian County
Al Gore;Al Gore;Washington, D.C.
Alben W. Barkley;Alben W. Barkley;Lowes
Andrew Jackson;Andrew Jackson;Waxhaw Settlement
Andrew Johnson;Andrew Johnson;Raleigh
Barack Obama;Barack Obama;Honolulu
Benjamin Harrison;Benjamin Harrison;North Bend
Bill Clinton;Bill Clinton;Hope
Calvin Coolidge;Calvin Coolidge;Plymouth Notch
Charles Curtis;Charles Curtis;Topeka
Charles G. Dawes;Charles G. Dawes;Marietta
Charles W. Fairbanks;Charles W. Fairbanks;Unionville Center
Chester A. Arthur;Chester A. Arthur;Fairfield
Dan Quayle;Dan Quayle;Indianapolis
Daniel D. Tompkins;Daniel D. Tompkins;Scarsdale
Dick Cheney;Dick Cheney;Lincoln
Donald Trump;Donald Trump;New York City
Dwight D. Eisenhower;Dwight D. Eisenhower;Denison
Elbridge Gerry;Elbridge Gerry;Marblehead
Franklin D. Roosevelt;Franklin D. Roosevelt;Hyde Park
Franklin Pierce;Franklin Pierce;Hillsborough
Garret Hobart;Garret Hobart;Long Branch
George Clinton;George Clinton;Little Britain
George H. W. Bush;George H. W. Bush;Milton
George M. Dallas;George M. Dallas;Philadelphia
George W. Bush;George W. Bush;New Haven
George Washington;George Washington;Popes Creek
Gerald Ford;Gerald Ford;Omaha
Grover Cleveland;Grover Cleveland;Caldwell
Hannibal Hamlin;Hannibal Hamlin;Paris
Harry S. Truman;Harry S. Truman;Lamar
Henry A. Wallace;Henry A. Wallace;Orient
Henry Wilson;Henry Wilson;Farmington
Herbert Hoover;Herbert Hoover;West Branch
Hubert Humphrey;Hubert Humphrey;Wallace
James A. Garfield;James A. Garfield;Moreland Hills
James Buchanan;James Buchanan;Cove Gap
James K. Polk;James K. Polk;Pineville
James Madison;James Madison;Port Conway
James Monroe;James Monroe;Monroe Hall
James S. Sherman;James S. Sherman;Utica
Jimmy Carter;Jimmy Carter;Plains
Joe Biden;Joe Biden;Scranton
John Adams;John Adams;Braintree
John C. Breckinridge;John C. Breckinridge;Lexington
John C. Calhoun;John C. Calhoun;Abbeville
John F. Kennedy;John F. Kennedy;Brookline
John Nance Garner;John Nance Garner;Red River County
John Quincy Adams;John Quincy Adams;Braintree
John Tyler;John Tyler;Charles City County
Levi P. Morton;Levi P. Morton;Shoreham
Lyndon B. Johnson;Lyndon B. Johnson;Stonewall
Martin Van Buren;Martin Van Buren;Kinderhook
Mike Pence;Mike Pence;Columbus
Millard Fillmore;Millard Fillmore;Moravia
Nelson Rockefeller;Nelson Rockefeller;Bar Harbor
Richard Mentor Johnson;Richard Mentor Johnson;Beargrass
Richard Nixon;Richard Nixon;Yorba Linda
Ronald Reagan;Ronald Reagan;Tampico
Rutherford B. Hayes;Rutherford B. Hayes;Delaware
Schuyler Colfax;Schuyler Colfax;New York City
Spiro Agnew;Spiro Agnew;Baltimore
Theodore Roosevelt;Theodore Roosevelt;New York City
Thomas A. Hendricks;Thomas A. Hendricks;Fultonham
Thomas Jefferson;Thomas Jefferson;Shadwell
Thomas R. Marshall;Thomas R. Marshall;North Manchester
Ulysses S. Grant;Ulysses S. Grant;Point Pleasant
Walter Mondale;Walter Mondale;Ceylon
Warren G. Harding;Warren G. Harding;Blooming Grove
William A. Wheeler;William A. Wheeler;Malone
William Henry Harrison;William Henry Harrison;Charles City County
William Howard Taft;William Howard Taft;Cincinnati
William McKinley;William McKinley;Niles
William R. King;William R. King;Sampson County
Woodrow Wilson;Woodrow Wilson;Staunton
Zachary Taylor;Zachary Taylor;Barboursville
